n,model,metric,tail_var,r,p,draws
10000,glm_hurdle,calibration_ratio,top1_share,0.5774436090225563,0.007673261374909007,20
10000,glm_hurdle,calibration_ratio,sample_loss_cost,0.8721804511278194,5.389740442330202e-07,20
10000,glm_hurdle,calibration_ratio,cap_q995,0.78796992481203,3.6994064734938586e-05,20
10000,glm_hurdle,gini_exposure_weighted,n_above_q99,-0.572837927467429,0.008291863239496862,20
10000,glm_hurdle,gini_exposure_weighted,max_claim,-0.11963886005332143,0.6153853947422891,20
10000,glm_hurdle,gini_exposure_weighted,top1_share,-0.04060150375939849,0.8650468790077723,20
10000,glm_hurdle,gini_exposure_weighted,sample_loss_cost,-0.2721804511278195,0.24566887828037726,20
10000,glm_hurdle,gini_exposure_weighted,cap_q995,-0.48872180451127817,0.028772030054996112,20
10000,glm_tweedie,gini_total_loss,n_above_q99,-0.11717139425470141,0.6227431085029793,20
10000,glm_tweedie,gini_total_loss,max_claim,0.24680217671377,0.29417699467133596,20
10000,glm_tweedie,gini_total_loss,top1_share,0.27368421052631575,0.24296636906130648,20
10000,glm_tweedie,gini_total_loss,sample_loss_cost,0.09924812030075188,0.6771888443218217,20
10000,glm_tweedie,gini_total_loss,cap_q995,-0.1609022556390977,0.4979744144247943,20
10000,glm_tweedie,tweedie_deviance_1.5,n_above_q99,0.14857026461053643,0.5318862625818025,20
10000,glm_tweedie,tweedie_deviance_1.5,max_claim,-0.28141467710655477,0.22937562673566042,20
10000,glm_tweedie,tweedie_deviance_1.5,top1_share,-0.3157894736842105,0.1749941354156349,20
10000,glm_tweedie,tweedie_deviance_1.5,sample_loss_cost,-0.23759398496240602,0.3131305637442673,20
10000,glm_tweedie,tweedie_deviance_1.5,cap_q995,0.16240601503759397,0.49391254436303184,20
10000,glm_tweedie,calibration_ratio,n_above_q99,0.6524838425163765,0.0018194354979077316,20
10000,glm_tweedie,calibration_ratio,max_claim,0.8878858796410017,1.7578336531286716e-07,20
10000,glm_tweedie,calibration_ratio,top1_share,0.8330827067669173,5.123854828137089e-06,20
10000,glm_tweedie,calibration_ratio,sample_loss_cost,0.9909774436090225,3.642322201586895e-17,20
